Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2019,10,13,23.9,1,N
IDCJAC0010,023000,2019,10,14,19.1,1,N
IDCJAC0010,023000,2019,10,15,18.9,1,N
IDCJAC0010,023000,2019,10,16,17.7,1,N
IDCJAC0010,023000,2019,10,17,17.2,1,N
IDCJAC0010,023000,2019,10,18,20.6,1,N
IDCJAC0010,023000,2019,10,19,16.8,1,N
IDCJAC0010,023000,2019,10,20,18.3,1,N
IDCJAC0010,023000,2019,10,21,24.8,1,N
IDCJAC0010,023000,2019,10,22,,,
IDCJAC0010,023000,2019,10,23,33.6,1,N
IDCJAC0010,023000,2019,10,24,36.6,1,N
IDCJAC0010,023000,2019,10,25,19.7,1,N
IDCJAC0010,023000,2019,10,26,18.4,1,N
IDCJAC0010,023000,2019,10,27,19.5,1,N
IDCJAC0010,023000,2019,10,28,25.4,1,N
IDCJAC0010,023000,2019,10,29,32.7,1,N
IDCJAC0010,023000,2019,10,30,35.5,1,N
IDCJAC0010,023000,2019,10,31,37.2,1,N
IDCJAC0010,023000,2019,11,01,29.6,1,N
IDCJAC0010,023000,2019,11,02,23.3,1,N
IDCJAC0010,023000,2019,11,03,19.6,1,N
IDCJAC0010,023000,2019,11,04,18.7,1,N
IDCJAC0010,023000,2019,11,05,23.4,1,N
IDCJAC0010,023000,2019,11,06,20.4,1,N
IDCJAC0010,023000,2019,11,07,19.7,1,N
IDCJAC0010,023000,2019,11,08,17.0,1,N
IDCJAC0010,023000,2019,11,09,17.5,1,N
IDCJAC0010,023000,2019,11,10,23.5,1,N
IDCJAC0010,023000,2019,11,11,32.6,1,N
IDCJAC0010,023000,2019,11,12,17.7,1,N
IDCJAC0010,023000,2019,11,13,19.5,1,N
IDCJAC0010,023000,2019,11,14,19.6,1,N
IDCJAC0010,023000,2019,11,15,19.3,1,N
IDCJAC0010,023000,2019,11,16,19.2,1,N
IDCJAC0010,023000,2019,11,17,21.6,1,N
IDCJAC0010,023000,2019,11,18,32.6,1,N
IDCJAC0010,023000,2019,11,19,34.0,1,N
IDCJAC0010,023000,2019,11,20,41.6,1,N
IDCJAC0010,023000,2019,11,21,21.9,1,N
IDCJAC0010,023000,2019,11,22,21.8,1,N
IDCJAC0010,023000,2019,11,23,21.9,1,N
IDCJAC0010,023000,2019,11,24,27.5,1,N
IDCJAC0010,023000,2019,11,25,27.7,1,N
IDCJAC0010,023000,2019,11,26,19.2,1,N
IDCJAC0010,023000,2019,11,27,25.4,1,N
IDCJAC0010,023000,2019,11,28,25.2,1,N
IDCJAC0010,023000,2019,11,29,19.0,1,N
IDCJAC0010,023000,2019,11,30,19.0,1,N
IDCJAC0010,023000,2019,12,01,17.7,1,Y
IDCJAC0010,023000,2019,12,02,19.7,1,Y
IDCJAC0010,023000,2019,12,03,20.5,1,Y
IDCJAC0010,023000,2019,12,04,23.0,1,Y
IDCJAC0010,023000,2019,12,05,24.0,1,Y
IDCJAC0010,023000,2019,12,06,21.9,1,Y
IDCJAC0010,023000,2019,12,07,27.0,1,Y
IDCJAC0010,023000,2019,12,08,38.9,1,Y
IDCJAC0010,023000,2019,12,09,24.7,1,Y
IDCJAC0010,023000,2019,12,10,26.5,1,Y
IDCJAC0010,023000,2019,12,11,26.3,1,Y
IDCJAC0010,023000,2019,12,12,23.3,1,Y
IDCJAC0010,023000,2019,12,13,20.9,1,Y
IDCJAC0010,023000,2019,12,14,23.2,1,Y
IDCJAC0010,023000,2019,12,15,30.2,1,Y
IDCJAC0010,023000,2019,12,16,34.1,1,Y
IDCJAC0010,023000,2019,12,17,42.1,1,Y
IDCJAC0010,023000,2019,12,18,43.7,1,Y
IDCJAC0010,023000,2019,12,19,45.3,1,Y
IDCJAC0010,023000,2019,12,20,43.9,1,Y
IDCJAC0010,023000,2019,12,21,24.7,1,Y
IDCJAC0010,023000,2019,12,22,27.8,1,Y
IDCJAC0010,023000,2019,12,23,33.4,1,Y
IDCJAC0010,023000,2019,12,24,31.5,1,Y
IDCJAC0010,023000,2019,12,25,35.5,1,Y
IDCJAC0010,023000,2019,12,26,35.2,1,Y
IDCJAC0010,023000,2019,12,27,42.1,1,Y
IDCJAC0010,023000,2019,12,28,37.8,1,Y
IDCJAC0010,023000,2019,12,29,38.4,1,Y
IDCJAC0010,023000,2019,12,30,41.9,1,Y
IDCJAC0010,023000,2019,12,31,24.4,1,Y
